,country,continent_name,monthly_internet_cost_2018,internet_percent_of_population,population_2018,population_2024,gni_2018,gni_2024,annual_internet_cost_2018,annual_cost_percent_GNI_2018,annual_internet_cost_2024,annual_cost_percent_GNI_2024,sat_annual_cost_per_gni_2018,sat_annual_cost_per_gni_2024
21,Mauritius,Africa,50.3,0.585962,1300000.0,1300000.0,12800.0,12400.0,603.5999999999999,0.04715624999999999,813.1633765046633,0.06557769165360189,0.05625,0.0667741935483871
22,Morocco,Africa,33.81,0.648039,35900000.0,38200000.0,3220.0,3350.0,405.72,0.126,546.5815856783832,0.1631586822920547,0.2236024844720497,0.2471641791044776
23,Mozambique,Africa,175.25,0.1,29400000.0,34900000.0,479.0,534.0,2103.0,4.390396659707725,2833.1388018378184,5.305503374228124,1.5031315240083507,1.550561797752809
24,Namibia,Africa,133.38,0.51,2410000.0,2650000.0,5120.0,4490.0,1600.56,0.31260937499999997,2156.2570806797617,0.48023542999549257,0.140625,0.1844097995545657
25,Niger,Africa,55.07,0.0525049,22600000.0,28200000.0,594.0,678.0,660.84,1.1125252525252525,890.2764839783664,1.3130921592601275,1.2121212121212122,1.2212389380530972
26,Nigeria,Africa,78.21,0.42,198000000.0,229000000.0,2040.0,1990.0,938.52,0.46005882352941174,1264.3639697103324,0.6353587787489108,0.35294117647058826,0.41608040201005025
27,Senegal,Africa,38.82,0.46,15600000.0,18200000.0,1450.0,1730.0,465.84000000000003,0.3212689655172414,627.5745979306371,0.36275988319690006,0.496551724137931,0.47861271676300576
28,Seychelles,Africa,122.72,0.587698,103000.0,108000.0,16400.0,13500.0,1472.6399999999999,0.0897951219512195,1983.9246434324514,0.1469573809949964,0.04390243902439024,0.06133333333333333
29,South Africa,Africa,44.77,0.561674,57300000.0,61000000.0,6600.0,6110.0,537.24,0.0814,723.7639038988824,0.11845563075268124,0.10909090909090909,0.13551554828150572
30,Tanzania,Africa,188.16,0.25,58100000.0,69400000.0,1070.0,1130.0,2257.92,2.1102056074766358,3041.8453463840456,2.6918985366230492,0.6728971962616822,0.7327433628318584
31,Togo,Africa,45.91,0.123602,8050000.000000001,9260000.0,916.0,1000.0,550.92,0.6014410480349345,742.1934515970001,0.7421934515970001,0.7860262008733624,0.828
32,Tunisia,Africa,14.28,0.641908,11900000.0,12600000.0,3880.0,3520.0,171.35999999999999,0.044164948453608244,230.85433432378917,0.06558361770562192,0.18556701030927836,0.23522727272727273
33,Zimbabwe,Africa,63.87,0.270555,15100000.0,17000000.0,1410.0,1180.0,766.4399999999999,0.5435744680851063,1032.5396591919057,0.8750336094846658,0.5106382978723404,0.7016949152542373
34,Afghanistan,Asia,25.87,0.135,36700000.0,43400000.0,531.0,539.0,310.44,0.584632768361582,418.221402587985,0.7759209695509925,1.3559322033898304,1.536178107606679
35,Armenia,Asia,14.6,0.647449,2840000.0,2780000.0,4420.0,4860.0,175.2,0.039638009049773756,236.0275406951906,0.048565337591603,0.16289592760180996,0.17037037037037037
