,country,continent_name,monthly_internet_cost_2018,internet_percent_of_population,population_2018,population_2024,gni_2018,gni_2024
75,Albania,Europe,20.55,0.71847,2880000.0,2830000.0,5060.0,6160.0
77,Austria,Europe,35.99,0.877105,8840000.0,8980000.0,51000.0,53200.0
78,Azerbaijan,Europe,16.76,0.798,10200000.0,10500000.0,4250.0,4600.0
79,Belarus,Europe,9.87,0.791299,9700000.0,9460000.0,5970.0,6740.0
80,Belgium,Europe,44.39,0.886551,11400000.0,11700000.0,47900.0,50100.0
81,Bosnia and Herzegovina,Europe,20.19,0.701201,3400000.0,3190000.0,5990.0,7010.0
82,Bulgaria,Europe,15.93,0.64782,7120000.0,6620000.0,8880.0,11500.0
83,Croatia,Europe,33.69,0.726888,4160000.0,3990000.0,14900.0,17700.0
84,Cyprus,Europe,49.39,0.844336,1220000.0,1270000.0,28100.0,28300.0
85,Czech Republic,Europe,22.38,0.806882,10500000.0,10500000.0,21400.0,25400.0
86,Denmark,Europe,48.23,0.976443,5770000.0,5940000.0,63800.0,68200.0
87,Estonia,Europe,28.93,0.89357,1320000.0,1320000.0,22200.0,26700.0
88,Finland,Europe,43.85,0.8889,5520000.0,5550000.0,50200.0,53500.0
89,France,Europe,27.81,0.820435,64300000.0,64900000.00000001,42900.0,44400.0
90,Georgia,Europe,13.86,0.639686,3770000.0,3720000.0,4640.0,5190.0
91,Germany,Europe,28.74,0.897391,82900000.0,83300000.0,49400.0,52200.0
92,Greece,Europe,40.56,0.729521,10600000.0,10300000.0,19800.0,20600.0
93,Hungary,Europe,16.91,0.760744,9780000.0,9990000.0,15600.0,18800.0
94,Iceland,Europe,64.71,0.99011,353000.0,378000.0,70600.0,66200.0
95,Ireland,Europe,57.32,0.845223,4830000.0,5090000.0,61700.0,73600.0
96,Italy,Europe,33.28,0.743872,59900000.0,58700000.0,35200.0,35800.0
97,Kazakhstan,Europe,11.1,0.789039,18500000.0,19800000.0,8400.0,9630.0
98,Latvia,Europe,16.55,0.835772,1940000.0,1810000.0,17200.0,21100.0
99,Lithuania,Europe,11.14,0.797226,2880000.0,2690000.0,18200.0,22100.0
100,Luxembourg,Europe,48.16,0.970613,608000.0,662000.0,82700.0,85600.0
101,Malta,Europe,40.33,0.814031,492000.0,537000.0,28200.0,29600.0
102,Moldova,Europe,11.57,0.761245,3140000.0,3330000.0,4080.0,5780.0
104,Montenegro,Europe,30.04,0.715173,631000.0,626000.0,8780.0,9730.0
105,Norway,Europe,70.97,0.964917,5310000.0,5510000.0,83600.0,86700.0
106,Poland,Europe,15.78,0.775417,38500000.0,40200000.0,14700.0,17700.0
107,Portugal,Europe,49.42,0.74661,10300000.0,10200000.0,22900.0,25100.0
108,Romania,Europe,8.15,0.706813,19600000.0,19600000.0,11900.0,15000.0
109,Russia,Europe,7.35,0.808647,146000000.0,144000000.0,10700.0,12000.0
111,Serbia,Europe,17.02,0.733607,7430000.0,7100000.0,6680.0,8940.0
112,Slovak Republic,Europe,18.54,0.806603,5450000.0,5700000.0,19100.0,22000.0
113,Slovenia,Europe,31.16,0.7975,2110000.0,2120000.0,25600.0,29100.0
114,Spain,Europe,39.38,0.861072,46800000.0,47500000.0,30500.0,31700.0
115,Sweden,Europe,39.6,0.921417,10200000.0,10700000.0,57900.0,57000.0
116,Switzerland,Europe,72.1,0.896861,8510000.0,8850000.0,86700.0,86500.0
117,Turkey,Europe,13.61,0.710428,82800000.0,86300000.0,10900.0,10200.0
118,Ukraine,Europe,6.64,0.588895,44400000.0,37900000.0,2920.0,4150.0
